country,code,continent,population,population_density,median_age,gdp_per_capita,life_expectancy,hospital_beds_per_thousand,human_development_index,diabetes_prevalence,extreme_poverty
Afghanistan,AFG,Asia,40578847,62.21554946899414,16.75200080871582,1964.4522705078125,65.61699676513672,0.3499999940395355,NA,11.699999809265137,NA
Albania,ALB,Europe,2827614,103.19759368896484,35.94300079345703,22724.29296875,78.768798828125,2.9000000953674316,NA,10.600000381469728,0.3409224562346935
Algeria,DZA,Africa,45477391,19.094181060791016,27.982999801635746,15882.7138671875,76.12889862060547,1.6100000143051147,NA,17.5,0
American Samoa,ASM,Oceania,48365,241.8249969482422,27.927000045776367,NA,72.7520980834961,NA,NA,NA,NA
Andorra,AND,Europe,79722,169.62127685546875,42.832000732421875,67993.0546875,84.01640319824219,NA,NA,10.100000381469728,NA
Angola,AGO,Africa,35635028,28.58348274230957,16.389999389648438,8760.1904296875,64.24549865722656,0.75,NA,4.900000095367432,39.29470479488373
Anguilla,AIA,North America,14202,157.8000030517578,37.77299880981445,NA,79.11940002441406,NA,NA,NA,NA
Antigua and Barbuda,ATG,North America,92850,211.0227203369141,35.071998596191406,30620.306640625,77.4832992553711,3.4200000762939453,NA,11.600000381469728,NA
Argentina,ARG,South America,45407904,16.59227180480957,31.73900032043457,27846.59765625,75.80609893798828,3.359999895095825,NA,14,NA
Armenia,ARM,Asia,2880880,101.19002532958984,35.814998626708984,21153.478515625,74.63330078125,4.239999771118164,NA,7.699999809265137,0.78427754342556
Aruba,ABW,North America,107792,598.84442138671875,40.766998291015625,45428.00390625,76.225799560546875,NA,NA,4.599999904632568,NA
Australia,AUS,Oceania,26200987,3.4062557220458984,37.512001037597656,60194.0625,82.76619720458984,3.819999933242798,NA,7.400000095367432,0.8999999612569809
Austria,AUT,Europe,9064678,109.84825134277344,42.832000732421875,63970.40234375,81.2958984375,6.699999809265137,NA,5.400000095367432,0.5282233003526926
Azerbaijan,AZE,Asia,10295307,124.56511688232422,32.0620002746582,22314.216796875,74.125,3.680000066757202,NA,10.199999809265137,NA
Bahamas,BHS,North America,397542,39.71448516845703,34.23400115966797,36244.05078125,74.49109649658203,2.1700000762939453,NA,8.899999618530273,NA
Bahrain,BHR,Asia,1533460,1941.088623046875,31.683000564575195,60669.62890625,80.99210357666016,1.840000033378601,NA,22.100000381469727,NA
Bangladesh,BGD,Asia,169384891,1301.259033203125,24.989999771118164,8676.755859375,74.26470184326172,0.9200000166893004,NA,13.199999809265137,5.909079313278198
Barbados,BRB,North America,282324,656.56744384765625,38.652000427246094,22127.361328125,75.67610168457031,6.400000095367432,NA,13.199999809265137,1.6773976385593414
Belarus,BLR,Europe,9173240,45.19950866699219,40.19200134277344,29666.2109375,74.36119842529297,9.770000457763672,NA,5.099999904632568,0
Belgium,BEL,Europe,11641814,384.4720458984375,41.1510009765625,63488.421875,81.15889739990234,5.420000076293945,NA,5.900000095367432,0.08690045215189457
Belize,BLZ,North America,402741,17.656335830688477,25.520999908447266,12788.8427734375,72.190399169921875,1,NA,14.100000381469728,1.0364782996475697
Benin,BEN,Africa,13759507,122.02471923828124,17.645999908447266,4116.21533203125,60.475101470947266,0.4300000071525574,NA,8.100000381469727,27.223417162895203
Bermuda,BMU,North America,64772,1199.4814453125,44.702999114990234,104299.9453125,82.06159973144531,NA,NA,13.399999618530272,NA
Bhutan,BTN,Asia,780921,20.47511863708496,28.809999465942383,16743.87109375,72.753997802734375,2.1600000858306885,NA,12,0.00695353883202187
