country,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,icu_patients,hosp_patients,new_tests,positive_rate,people_vaccinated,stringency_index,population
Argentina,2020-01-01,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,45407904
Argentina,2020-01-02,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,0,45407904
Argentina,2020-01-03,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0,45407904
Argentina,2020-01-04,0,0,NA,0,0,NA,NA,76,NA,NA,0,45407904
Argentina,2020-01-05,0,0,NA,0,0,NA,NA,14,NA,NA,0,45407904
Argentina,2020-01-06,0,0,NA,0,0,NA,NA,54,NA,NA,0,45407904
Argentina,2020-01-07,0,0,NA,0,0,NA,NA,31,NA,NA,0,45407904
Argentina,2020-01-08,0,0,NA,0,0,NA,NA,5,NA,NA,0,45407904
Argentina,2020-01-09,0,0,0,0,0,NA,NA,1,0,NA,0,45407904
Argentina,2020-01-10,0,0,0,0,0,NA,NA,79,0,NA,0,45407904
Argentina,2020-01-11,0,0,0,0,0,NA,NA,1,0,NA,0,45407904
Argentina,2020-01-12,0,0,0,0,0,NA,NA,40,0,NA,0,45407904
Argentina,2020-01-13,0,0,0,0,0,NA,NA,3,0,NA,0,45407904
Argentina,2020-01-14,0,0,0,0,0,NA,NA,2,0,NA,0,45407904
Argentina,2020-01-15,0,0,0,0,0,NA,NA,66,0,NA,0,45407904
Argentina,2020-01-16,0,0,0,0,0,NA,NA,2,0,NA,0,45407904
Argentina,2020-01-17,0,0,0,0,0,NA,NA,6,0,NA,0,45407904
Argentina,2020-01-18,0,0,0,0,0,NA,NA,3,0,NA,0,45407904
Argentina,2020-01-19,0,0,0,0,0,NA,NA,44,0,NA,0,45407904
Argentina,2020-01-20,0,0,0,0,0,NA,NA,5,0,NA,0,45407904
Argentina,2020-01-21,0,0,0,0,0,NA,NA,1,0,NA,0,45407904
Argentina,2020-01-22,0,0,0,0,0,NA,NA,2,0,NA,0,45407904
Argentina,2020-01-23,0,0,0,0,0,NA,NA,1,0,NA,11.11,45407904
Argentina,2020-01-24,0,0,0,0,0,NA,NA,NA,0,NA,11.11,45407904
Argentina,2020-01-25,0,0,0,0,0,NA,NA,NA,0,NA,11.11,45407904
Argentina,2020-01-26,0,0,0,0,0,NA,NA,2,0,NA,11.11,45407904
Argentina,2020-01-27,0,0,0,0,0,NA,NA,21,0,NA,11.11,45407904
Argentina,2020-01-28,0,0,0,0,0,NA,NA,1,0,NA,11.11,45407904
Argentina,2020-01-29,0,0,0,0,0,NA,NA,3,0,NA,11.11,45407904
Argentina,2020-01-30,0,0,0,0,0,NA,NA,19,0,NA,11.11,45407904
Argentina,2020-01-31,0,0,0,0,0,NA,NA,2,0,NA,11.11,45407904
Argentina,2020-02-01,0,0,0,0,0,NA,NA,37,0,NA,11.11,45407904
Argentina,2020-02-02,0,0,0,0,0,NA,NA,3,0,NA,11.11,45407904
Argentina,2020-02-03,0,0,0,0,0,NA,NA,NA,0,NA,11.11,45407904
Argentina,2020-02-04,0,0,0,0,0,NA,NA,1,0,NA,11.11,45407904
Argentina,2020-02-05,0,0,0,0,0,NA,NA,NA,0,NA,11.11,45407904
Argentina,2020-02-06,0,0,0,0,0,NA,NA,NA,0,NA,11.11,45407904
Argentina,2020-02-07,0,0,0,0,0,NA,NA,NA,0,NA,11.11,45407904
Argentina,2020-02-08,0,0,0,0,0,NA,NA,NA,0,NA,11.11,45407904
Argentina,2020-02-09,0,0,0,0,0,NA,NA,1,0,NA,11.11,45407904
Argentina,2020-02-10,0,0,0,0,0,NA,NA,5,0,NA,11.11,45407904
Argentina,2020-02-11,0,0,0,0,0,NA,NA,4,0,NA,11.11,45407904
Argentina,2020-02-12,0,0,0,0,0,NA,NA,7,0,NA,11.11,45407904
Argentina,2020-02-13,0,0,0,0,0,NA,NA,1,0,NA,11.11,45407904
Argentina,2020-02-14,0,0,0,0,0,NA,NA,NA,0,NA,11.11,45407904
Argentina,2020-02-15,0,0,0,0,0,NA,NA,NA,0,NA,11.11,45407904
Argentina,2020-02-16,0,0,0,0,0,NA,NA,NA,0,NA,11.11,45407904
Argentina,2020-02-17,0,0,0,0,0,NA,NA,NA,0,NA,11.11,45407904
Argentina,2020-02-18,0,0,0,0,0,NA,NA,1,0,NA,11.11,45407904
Argentina,2020-02-19,0,0,0,0,0,NA,NA,1,0,NA,11.11,45407904
Argentina,2020-02-20,0,0,0,0,0,NA,NA,2,0,NA,11.11,45407904
Argentina,2020-02-21,0,0,0,0,0,NA,NA,NA,0,NA,11.11,45407904
Argentina,2020-02-22,0,0,0,0,0,NA,NA,NA,0,NA,11.11,45407904
Argentina,2020-02-23,0,0,0,0,0,NA,NA,NA,0,NA,11.11,45407904
Argentina,2020-02-24,0,0,0,0,0,NA,NA,1,0,NA,11.11,45407904
Argentina,2020-02-25,0,0,0,0,0,NA,NA,21,0,NA,11.11,45407904
Argentina,2020-02-26,0,0,0,0,0,NA,NA,NA,0,NA,11.11,45407904
Argentina,2020-02-27,0,0,0,0,0,NA,NA,5,0,NA,11.11,45407904
Argentina,2020-02-28,0,0,0,0,0,NA,NA,11,0,NA,11.11,45407904
Argentina,2020-02-29,0,0,0,0,0,NA,NA,1,0,NA,11.11,45407904
Argentina,2020-03-01,0,0,0,0,0,NA,NA,NA,0,NA,11.11,45407904
Argentina,2020-03-02,0,0,0,0,0,NA,NA,6,0,NA,11.11,45407904
Argentina,2020-03-03,0,0,0,0,0,NA,NA,8,0,NA,11.11,45407904
Argentina,2020-03-04,0,0,0,0,0,NA,NA,6,0,NA,11.11,45407904
Argentina,2020-03-05,10,10,1.4285715,1,1,NA,NA,7,3.4013605,NA,11.11,45407904
Argentina,2020-03-06,14,4,2,1,0,NA,NA,12,8.163265,NA,11.11,45407904
Argentina,2020-03-07,20,6,2.857143,1,0,NA,NA,9,13.994169,NA,11.11,45407904
Argentina,2020-03-08,22,2,3.142857,1,0,NA,NA,29,18.075802,NA,11.11,45407904
Argentina,2020-03-09,26,4,3.7142856,1,0,NA,NA,14,22.49757,NA,11.11,45407904
Argentina,2020-03-10,34,8,4.857143,3,2,NA,NA,37,26.834305,NA,11.11,45407904
Argentina,2020-03-11,45,11,6.428571,3,0,NA,NA,35,31.426142,NA,25,45407904
Argentina,2020-03-12,67,22,8.142858,4,1,NA,NA,47,32.49888,NA,25,45407904
Argentina,2020-03-13,102,35,12.571428,8,4,NA,NA,88,32.59081,NA,25,45407904
Argentina,2020-03-14,115,13,13.571428,9,1,NA,NA,49,31.268684,NA,25,45407904
Argentina,2020-03-15,131,16,15.571428,9,0,NA,NA,82,31.63603,NA,25,45407904
Argentina,2020-03-16,158,27,18.857143,12,3,NA,NA,106,31.490257,NA,41.67,45407904
Argentina,2020-03-17,214,56,25.714285,14,2,NA,NA,129,31.924263,NA,41.67,45407904
Argentina,2020-03-18,263,49,31.142857,14,0,NA,NA,203,31.737356,NA,41.67,45407904
Argentina,2020-03-19,303,40,33.714287,15,1,NA,NA,152,31.415264,NA,75,45407904
Argentina,2020-03-20,387,84,40.714287,17,2,NA,NA,232,30.838142,NA,88.89,45407904
Argentina,2020-03-21,456,69,48.714287,17,0,NA,NA,323,30.306038,NA,88.89,45407904
Argentina,2020-03-22,536,80,57.857143,20,3,NA,NA,247,30.010479,NA,88.89,45407904
Argentina,2020-03-23,635,99,68.14286,25,5,NA,NA,288,30.061014,NA,100,45407904
Argentina,2020-03-24,751,116,76.71429,30,5,NA,NA,445,29.349232,NA,100,45407904
Argentina,2020-03-25,868,117,86.42857,41,11,NA,NA,550,28.80272,NA,100,45407904
Argentina,2020-03-26,975,107,96,51,10,NA,NA,586,28.24084,NA,100,45407904
Argentina,2020-03-27,1096,121,101.28571,57,6,NA,NA,457,27.45915,NA,100,45407904
Argentina,2020-03-28,1188,92,104.57143,66,9,NA,NA,482,26.9088,NA,100,45407904
Argentina,2020-03-29,1282,94,106.57143,70,4,NA,NA,718,25.776112,NA,100,45407904
Argentina,2020-03-30,1411,129,110.85714,81,11,NA,NA,660,24.2928,NA,100,45407904
Argentina,2020-03-31,1516,105,109.28571,91,10,NA,NA,670,22.88448,NA,100,45407904
Argentina,2020-04-01,1630,114,108.85714,101,10,NA,NA,1071,21.371614,NA,100,45407904
Argentina,2020-04-02,1777,147,114.57143,110,9,NA,NA,1672,19.779942,NA,100,45407904
Argentina,2020-04-03,1897,120,114.42857,117,7,NA,NA,1604,17.94958,NA,100,45407904
Argentina,2020-04-04,2001,104,116.14286,123,6,NA,NA,1404,16.012648,NA,100,45407904
Argentina,2020-04-05,2073,72,113,131,8,NA,NA,1086,14.375193,NA,100,45407904
Argentina,2020-04-06,2221,148,115.71429,151,20,NA,NA,1368,12.8356495,NA,100,45407904
Argentina,2020-04-07,2341,120,117.85714,156,5,NA,NA,1686,11.376573,NA,100,45407904
Argentina,2020-04-08,2456,115,118,168,12,NA,NA,2008,10.120686,NA,100,45407904
Argentina,2020-04-09,2599,143,117.42857,174,6,NA,NA,1855,9.188697,NA,100,45407904
Argentina,2020-04-10,2699,100,114.57143,179,5,NA,NA,1719,8.55408,NA,100,45407904
Argentina,2020-04-11,2855,156,122,197,18,NA,NA,1822,8.121605,NA,100,45407904
Argentina,2020-04-12,2990,135,131,205,8,NA,NA,1591,7.825734,NA,100,45407904
Argentina,2020-04-13,3176,186,136.42857,217,12,NA,NA,1865,7.6096582,NA,100,45407904
Argentina,2020-04-14,3315,139,139.14285,228,11,NA,NA,2115,7.490243,NA,100,45407904
Argentina,2020-04-15,3479,164,146.14285,236,8,NA,NA,2302,7.501713,NA,100,45407904
Argentina,2020-04-16,3636,157,148.14285,242,6,NA,NA,2360,7.510616,NA,100,45407904
Argentina,2020-04-17,3806,170,158.14285,254,12,NA,NA,2194,7.5901937,NA,100,45407904
Argentina,2020-04-18,3940,134,155,270,16,NA,NA,2281,7.5871964,NA,100,45407904
Argentina,2020-04-19,4066,126,153.71428,279,9,NA,NA,1631,7.54199,NA,100,45407904
Argentina,2020-04-20,4265,199,155.57143,294,15,NA,NA,2386,7.4733944,NA,100,45407904
Argentina,2020-04-21,4493,228,168.28572,323,29,NA,NA,2896,7.449694,NA,100,45407904
Argentina,2020-04-22,4678,185,171.28572,340,17,NA,NA,2664,7.3920283,NA,100,45407904
Argentina,2020-04-23,4972,294,190.85715,369,29,NA,NA,2717,7.45461,NA,100,45407904
Argentina,2020-04-24,5195,223,198.42857,393,24,NA,NA,3307,7.4544606,NA,100,45407904
Argentina,2020-04-25,5355,160,202.14285,401,8,NA,NA,2644,7.5086584,NA,100,45407904
Argentina,2020-04-26,5464,109,199.71428,411,10,NA,NA,1734,7.5549965,NA,98.15,45407904
Argentina,2020-04-27,5684,220,202.71428,433,22,NA,NA,2238,7.6498065,NA,88.89,45407904
Argentina,2020-04-28,5884,200,198.71428,454,21,NA,NA,2945,7.6902676,NA,88.89,45407904
Argentina,2020-04-29,6083,199,200.71428,471,17,NA,NA,3101,7.7211123,NA,88.89,45407904
Argentina,2020-04-30,6308,225,190.85715,488,17,NA,NA,2861,7.596741,NA,88.89,45407904
Argentina,2020-05-01,6463,155,181.14285,505,17,NA,NA,3053,7.4623117,NA,88.89,45407904
Argentina,2020-05-02,6629,166,182,517,12,NA,NA,2295,7.352658,NA,88.89,45407904
Argentina,2020-05-03,6753,124,184.14285,526,9,NA,NA,2132,7.252699,NA,88.89,45407904
Argentina,2020-05-04,6949,196,180.71428,547,21,NA,NA,2866,7.0776596,NA,88.89,45407904
Argentina,2020-05-05,7178,229,184.85715,568,21,NA,NA,4064,6.8962517,NA,88.89,45407904
Argentina,2020-05-06,7476,298,199,583,15,NA,NA,4087,6.7537155,NA,88.89,45407904
Argentina,2020-05-07,7810,334,214.57143,607,24,NA,NA,3930,6.6968474,NA,88.89,45407904
Argentina,2020-05-08,8105,295,234.57143,622,15,NA,NA,3679,6.739427,NA,88.89,45407904
Argentina,2020-05-09,8379,274,250,634,12,NA,NA,3597,6.767531,NA,88.89,45407904
Argentina,2020-05-10,8650,271,271,646,12,NA,NA,2284,6.884757,NA,88.89,45407904
Argentina,2020-05-11,9009,359,294.2857,662,16,NA,NA,3680,7.108293,NA,94.44,45407904
Argentina,2020-05-12,9407,398,318.42856,687,25,NA,NA,3776,7.4728823,NA,90.74,45407904
Argentina,2020-05-13,9774,367,328.2857,706,19,NA,NA,4366,7.83806,NA,90.74,45407904
Argentina,2020-05-14,10240,466,347.14285,729,23,NA,NA,4217,8.237428,NA,90.74,45407904
Argentina,2020-05-15,10697,457,370.2857,747,18,NA,NA,4420,8.625547,NA,90.74,45407904
Argentina,2020-05-16,11091,394,387.42856,764,17,NA,NA,3762,9.0608635,NA,90.74,45407904
Argentina,2020-05-17,11560,469,415.7143,790,26,NA,NA,2813,9.492804,NA,90.74,45407904
Argentina,2020-05-18,12220,660,458.7143,830,40,NA,NA,4146,9.998362,NA,90.74,45407904
Argentina,2020-05-19,12831,611,489.14285,863,33,NA,NA,5616,10.3935995,NA,90.74,45407904
Argentina,2020-05-20,13559,728,540.7143,889,26,NA,NA,5879,10.849023,NA,90.74,45407904
Argentina,2020-05-21,14383,824,591.8571,931,42,NA,NA,5923,11.310854,NA,90.74,45407904
Argentina,2020-05-22,15236,853,648.4286,965,34,NA,NA,5703,11.8209915,NA,90.74,45407904
Argentina,2020-05-23,15999,763,701.1429,987,22,NA,NA,4816,12.368401,NA,90.74,45407904
Argentina,2020-05-24,16621,622,723,1009,22,NA,NA,3730,12.849531,NA,90.74,45407904
Argentina,2020-05-25,17261,640,720.1429,1033,24,NA,NA,4174,13.190989,NA,90.74,45407904
Argentina,2020-05-26,18058,797,746.7143,1067,34,NA,NA,4954,13.646097,NA,90.74,45407904
Argentina,2020-05-27,18962,904,771.8571,1110,43,NA,NA,5983,14.081521,NA,90.74,45407904
Argentina,2020-05-28,19902,940,788.4286,1161,51,NA,NA,6020,14.492195,NA,90.74,45407904
Argentina,2020-05-29,20919,1017,811.8571,1230,69,NA,NA,6839,14.799426,NA,90.74,45407904
Argentina,2020-05-30,21760,841,823,1271,41,NA,NA,5594,14.996804,NA,90.74,45407904
Argentina,2020-05-31,22406,646,826.4286,1306,35,NA,NA,3837,15.187571,NA,90.74,45407904
Argentina,2020-06-01,23404,998,877.5714,1349,43,NA,NA,5256,15.458479,NA,90.74,45407904
Argentina,2020-06-02,24447,1043,912.7143,1397,48,NA,NA,5786,15.657765,NA,90.74,45407904
Argentina,2020-06-03,25501,1054,934.1429,1452,55,NA,NA,6971,15.787589,NA,90.74,45407904
